FI;fi_lib;dep;reg;MCO;CANCERO;UNV;avc;sarcome;cancer;weight_avc;weight_sarcome;weight_cancer;weight_dep;weight_reg;weight_fr
020000519;CH SOISSONS;002;32;34871;4494;1112;0;0;1;0;0;8;178;139;128
020000535;CH CHAUNY;002;32;13108;1316;0;0;0;1;0;0;2;66;52;48
020001061;CH CH?TEAU-THIERRY;002;32;12460;102;0;0;0;1;0;0;0;63;49;45
020001087;CH HIRSON;002;32;2922;0;0;0;0;0;0;0;0;14;11;10
020010047;POLYCLINIQUE SAINT CLAUDE;002;32;17119;1452;0;0;0;1;0;0;3;87;68;63
030000061;CENTRE HOSPITALIER MOULINS YZEURE;003;84;42240;17520;0;0;0;1;0;0;33;274;137;155
030000079;CENTRE HOSPITALIER DE MONTLUCON;003;84;30507;2897;638;0;0;1;0;0;5;197;99;112
030000087;CH JACQUES LACARIN VICHY;003;84;39729;4880;352;0;0;1;0;0;9;257;129;146
030000095;CH BOURBON L'ARCHAMBAULT;003;84;87;0;0;0;0;0;0;0;0;0;0;0
030002208;CH DPT COEUR DU BOURBONNAIS;003;84;259;0;0;0;0;0;0;0;0;1;0;0
030780548;POLYCLINIQUE LA PERGOLA;003;84;7777;322;0;0;0;1;0;0;1;50;25;28
030781116;HOPITAL PRIVE SAINT-FRANCOIS;003;84;22671;6543;0;0;0;1;0;0;12;147;73;83
030785430;POLYCLINIQUE SAINT-ODILON;003;84;10833;1923;0;0;0;1;0;0;4;70;35;39
040000036;EPS PIERRE GROUES DE BARCELONNETTE;004;93;114;0;0;0;0;0;0;0;0;2;0;0
040000044;EPS DUCELIA DE CASTELLANE;004;93;70;0;0;0;0;0;0;0;0;1;0;0
040000093;CENTRE HOSPITALIER DE MANOSQUE;004;93;17793;4573;0;0;0;1;0;0;9;333;71;65
040000119;EPS LUMIERE DE RIEZ;004;93;214;0;0;0;0;0;0;0;0;4;0;0
040000127;EPS VALLEE DE LA BLANCHE;004;93;46;0;0;0;0;0;0;0;0;0;0;0
040000135;CHI DES ALPES DU SUD SITE DE SISTERON;004;93;2088;0;0;0;0;0;0;0;0;39;8;7
040000911;CENTRE HOSPIT GENERAL DIGNE LES BAINS;004;93;12180;1169;0;0;0;1;0;0;2;228;49;44
040780470;CLINIQUE TOUTES AURES;004;93;6047;237;0;0;0;1;0;0;0;113;24;22
040784860;HEMODIALYSE DES ALPES TOUTES AURES;004;93;14776;0;0;0;0;0;0;0;0;277;59;54
050000090;POLYCLINIQUE DES ALPES DU SUD GAP;005;93;12794;518;0;0;0;1;0;0;1;224;51;47
050000223;CENTRE HOSPITALIER D'AIGUILLES;005;93;48;0;0;0;0;0;0;0;0;0;0;0
050000231;CH DES ESCARTONS DE BRIANCON;005;93;11497;723;0;0;0;1;0;0;1;201;46;42
050000256;CENTRE HOSPITALIER D'EMBRUN;005;93;1310;0;0;0;0;0;0;0;0;22;5;4
050000330;CHABRE COURT SEJOUR SSR;005;93;30;0;0;0;0;0;0;0;0;0;0;0
050000348;CHI DES ALPES DU SUD SITE DE GAP;005;93;31403;5315;0;0;0;1;0;0;10;550;126;115
060000163;CH SAINT MAUR SAINT ETIENNE TINEE;006;93;45;0;0;0;0;0;0;0;0;0;0;0
060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;006;93;179;0;0;0;0;0;0;0;0;0;0;0
060000411;CH DU PAYS DE LA ROUDOULE PUGET;006;93;70;0;0;0;0;0;0;0;0;0;0;0
060000478;CENTRE HOSPITALIER DE GRASSE;006;93;21441;2725;0;0;0;1;0;0;5;39;86;79
060000486;CH SAINT ELOI DE SOSPEL;006;93;206;0;0;0;0;0;0;0;0;0;0;0
060000494;CH SAINT LAZARE DE TENDE;006;93;53;0;0;0;0;0;0;0;0;0;0;0
060000510;CH D'ANTIBES JUAN LES PINS;006;93;23229;2004;0;0;0;1;0;0;4;42;93;85
060000528;CENTRE ANTOINE LACASSAGNE;006;93;62760;59979;0;0;1;1;0;21;112;115;253;231
060000536;HOPITAUX DE LA VESUBIE;006;93;121;0;0;0;0;0;0;0;0;0;0;0
060000544;CH PIERRE NOUVEAU CANNES;006;93;40893;2339;0;0;0;1;0;0;4;75;164;150
060001450;CHU DE NICE HOPITAL SAINT ROCH;006;93;22615;0;0;0;0;0;0;0;0;41;91;83
060002102;CH LA PALMOSA DE MENTON;006;93;6570;0;0;0;0;0;0;0;0;12;26;24
060010949;AGAHTIR UDM ANTIBES;006;93;8457;0;0;0;0;0;0;0;0;15;34;31
060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;006;93;9604;0;0;0;0;0;0;0;0;17;38;35
060021417;HOPITAL PRIVE CANNES OXFORD;006;93;17125;522;0;0;0;1;0;0;1;31;69;63
060780442;CLINIQUE SAINT FRANCOIS;006;93;5675;313;0;0;0;1;0;0;1;10;22;20
060780491;INSTITUT ARNAULT TZANCK;006;93;16996;1026;0;0;0;1;0;0;2;31;68;62
060780517;POLYCLINIQUE SAINT JEAN;006;93;31466;7917;0;0;0;1;0;0;15;58;126;116
060780590;CLINIQUE DU PALAIS;006;93;8397;246;0;0;0;1;0;0;0;15;33;30
060780665;CLINIQUE DU MERIDIEN;006;93;4252;231;0;0;0;1;0;0;0;7;17;15
060780699;CLINIQUE MOZART;006;93;2115;0;0;0;0;0;0;0;0;3;8;7
060780715;CLINIQUE SAINT GEORGE;006;93;43278;10192;0;0;0;1;0;0;19;79;174;159
060780723;CLINIQUE DU PARC IMPERIAL;006;93;19910;5539;0;0;0;1;0;0;10;36;80;73
060780756;POLYCLINIQUE SANTA MARIA;006;93;11577;537;0;0;0;1;0;0;1;21;46;42
060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;006;93;13862;0;0;0;0;0;0;0;0;25;55;51
060781200;CLINIQUE SAINT ANTOINE;006;93;12188;338;0;0;0;1;0;0;1;22;49;44
060785003;CHU DE NICE HOPITAL PASTEUR;006;93;49363;1416;0;0;0;1;0;0;3;91;199;182
060785219;CLINIQUE PLEIN CIEL;006;93;12977;7711;0;0;0;1;0;0;14;23;52;47
060788957;CHU DE NICE HOPITAL DE CIMIEZ;006;93;5025;0;0;0;0;0;0;0;0;9;20;18
060789195;CHU DE NICE HOPITAL DE L'ARCHET;006;93;54372;10621;0;0;0;1;0;0;20;100;219;200
060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;006;93;3653;0;0;0;0;0;0;0;0;6;14;13
060792926;LA RIVIERA CTRE D'HEMODIALYSE ANTIBES;006;93;11281;0;0;0;0;0;0;0;0;20;45;41
060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;006;93;4899;0;0;0;0;0;0;0;0;9;19;18
060800166;CLINIQUE DE L'ESPERANCE;006;93;17204;1785;0;0;0;1;0;0;3;31;69;63
070000013;CH DES VALS D'ARD?CHE;007;84;6756;905;0;0;0;1;0;0;2;80;21;24
070000021;CH DE JOYEUSE;007;84;353;0;0;0;0;0;0;0;0;4;1;1
070000039;CH DE VALLON PONT D'ARC;007;84;203;0;0;0;0;0;0;0;0;2;0;0
070000047;CH DE VILLENEUVE DE BERG;007;84;186;0;0;0;0;0;0;0;0;2;0;0
070000062;CH DE BOURG SAINT AND?OL;007;84;137;0;0;0;0;0;0;0;0;1;0;0
070000070;CH DU CHEYLARD;007;84;383;0;0;0;0;0;0;0;0;4;1;1
070000096;HOPITAL DE MOZE;007;84;445;0;0;0;0;0;0;0;0;5;1;1
070000112;CH L?OPOLD OLLIER;007;84;284;0;0;0;0;0;0;0;0;3;0;1
070000146;CH DE LARGENTI?RE;007;84;125;0;0;0;0;0;0;0;0;1;0;0
070000179;CH D'ARD?CHE NORD;007;84;29882;1403;0;0;0;1;0;0;3;356;97;110
070000187;CH DE LAMASTRE;007;84;328;0;0;0;0;0;0;0;0;3;1;1
070000195;CH DE TOURNON;007;84;1621;0;0;0;0;0;0;0;0;19;5;5
070000203;CH DE ST F?LICIEN;007;84;185;0;0;0;0;0;0;0;0;2;0;0
070000484;CENTRE HOSPITALIER BOIS VERT;007;84;836;0;0;0;0;0;0;0;0;9;2;3
070000609;CENTRE HOSPITALIER D'AUBENAS;007;84;16415;2931;0;0;0;1;0;0;5;195;53;60
070780168;CLINIQUE DU VIVARAIS;007;84;5532;338;0;0;0;1;0;0;1;65;18;20
070780408;CLINIQUE DES C?VENNES;007;84;3254;0;0;0;0;0;0;0;0;38;10;12
070780424;CLINIQUE PASTEUR;007;84;16993;1120;0;0;0;1;0;0;2;202;55;62
080000110;CENTRE HOSPITALIER DE SEDAN;008;44;12181;171;0;0;0;1;0;0;0;157;49;44
080000219;CENTRE HOSPITALIER DE RETHEL;008;44;6610;0;0;0;0;0;0;0;0;85;26;24
080000276;CENTRE HOSPITALIER DE VOUZIERS;008;44;1861;0;0;0;0;0;0;0;0;24;7;6
080000284;CENTRE HOSPITALIER DE FUMAY;008;44;295;0;0;0;0;0;0;0;0;3;1;1
080000300;CENTRE HOSPITALIER DE NOUZONVILLE;008;44;150;0;0;0;0;0;0;0;0;1;0;0
080000425;HOPITAL MANCHESTER - CH CHARLEVILLE;008;44;45208;2570;0;0;0;1;0;0;5;584;182;166
080010465;GCS TERRIT ARDEN NORD SITE CH SEDAN;008;44;960;0;0;0;0;0;0;0;0;12;3;3
080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;008;44;10107;557;0;0;0;1;0;0;1;130;40;37
090000175;CH INTERCOMMUNAL DU VAL D'ARIEGE;009;76;29720;2777;0;0;0;1;0;0;5;800;124;109
090000183;CENTRE HOSPITALIER ARIEGE COUSERANS;009;76;5701;298;0;0;0;1;0;0;1;153;23;21
090001629;CH DU PAYS D'OLMES;009;76;1703;0;0;0;0;0;0;0;0;45;7;6
100000082;CLINIQUE DU PAYS DE SEINE;010;44;4067;0;0;0;0;0;0;0;0;39;16;15
100000090;CENTRE HOSPITALIER DE TROYES;010;44;62076;15460;575;0;0;1;0;0;29;598;250;229
100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;010;44;253;0;0;0;0;0;0;0;0;2;1;0
100000124;POLYCLINIQUE MONTIER LA CELLE;010;44;8746;233;0;0;0;1;0;0;0;84;35;32
100000140;CENTRE HOSPITALIER DE BAR-SUR-SEINE;010;44;186;0;0;0;0;0;0;0;0;1;0;0
100000157;POLYCLINIQUE DES URSULINES;010;44;4460;166;0;0;0;1;0;0;0;43;17;16
100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;010;44;3893;0;0;0;0;0;0;0;0;37;15;14
100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE;010;44;144;0;0;0;0;0;0;0;0;1;0;0
100002351;CLINIQUE DE CHAMPAGNE;010;44;18597;6035;0;0;0;1;0;0;11;179;74;68
100009364;MCO COMTE HENRI - CH DE TROYES;010;44;752;0;0;0;0;0;0;0;0;7;3;2
100009380;UNITE D'ALCOOLOGIE JEAN SCHIFFER;010;44;515;0;0;0;0;0;0;0;0;4;2;1
110000023;CH CARCASSONNE;011;76;56537;16506;621;0;0;1;0;0;31;419;237;208
110000049;CH JEAN PIERRE CASSABEL;011;76;1556;0;0;0;0;0;0;0;0;11;6;5
110000056;CH NARBONNE HOTEL DIEU;011;76;20749;1013;397;0;0;1;0;0;2;154;87;76
110000189;CH LIMOUX QUILLAN SITE DE LIMOUX;011;76;501;0;0;0;0;0;0;0;0;3;2;1
110000247;CH LEZIGNAN CORBIERES;011;76;1206;0;0;0;0;0;0;0;0;8;5;4
110780228;POLYCLINIQUE LE LANGUEDOC;011;76;38511;6844;0;0;0;1;0;0;13;285;161;142
110780236;CH LIMOUX QUILLAN SITE DE QUILLAN;011;76;220;0;0;0;0;0;0;0;0;1;0;0
110780483;POLYCLINIQUE MONTREAL;011;76;15426;2002;0;0;0;1;0;0;4;114;64;56
120000039;C.H. DE RODEZ -HOPITAL JACQUES PUEL-;012;76;57579;20682;508;0;0;1;0;0;39;647;241;212
120000054;CH VILLEFRANCHE DE ROUERGUE;012;76;10019;1679;0;0;0;1;0;0;3;112;42;36
120000070;CH PIERRE DELPECH DECAZEVILLE;012;76;4335;0;0;0;0;0;0;0;0;48;18;16
120000088;C.H.(EX H.L.)SAINT GENIEZ D'OLT;012;76;147;0;0;0;0;0;0;0;0;1;0;0
120000096;C.H.I. (EX H.L.) ESPALIONSTLAURENTOLT;012;76;146;0;0;0;0;0;0;0;0;1;0;0
120001128;CH ST ALAIN VILLEFRANCHE;012;76;3102;0;0;0;0;0;0;0;0;34;13;11
120004569;CENTRE HOSPITALIER DE MILLAU;012;76;9409;736;0;0;0;1;0;0;1;105;39;34
120004668;CENTRE HOSPITALIER DE SAINT AFFRIQUE;012;76;4195;0;0;0;0;0;0;0;0;47;17;15
130000409;CHI SITE D'AIX EN PROVENCE;013;93;61644;7444;353;0;0;1;0;0;14;54;248;227
130000516;CH LOUIS BRUNET D'ALLAUCH;013;93;2770;0;0;0;0;0;0;0;0;2;11;10
130000565;CH EDMOND GARCIN D'AUBAGNE;013;93;13355;695;0;0;0;1;0;0;1;11;53;49
130001225;CH SALON DE PROVENCE;013;93;21790;2646;0;0;0;1;0;0;5;19;87;80
130001258;HOPITAUX PORTES DE CAMARGUE TARASCON;013;93;379;0;0;0;0;0;0;0;0;0;1;1
130001647;INSTITUT PAOLI CALMETTES;013;93;85977;71414;0;0;1;1;0;25;133;76;346;317
130002215;CENTRE HOSPITALIER DE LA CIOTAT;013;93;6833;0;0;0;0;0;0;0;0;6;27;25
130002694;CLINIQUE JEAN PAOLI;013;93;713;0;0;0;0;0;0;0;0;0;2;2
130002827;CH JOSEPH IMBERT D'ARLES;013;93;15489;2033;0;0;0;1;0;0;4;13;62;57
130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;013;93;31873;2213;0;0;0;1;0;0;4;28;128;117
130008253;CLINIQUE DE VITROLLES;013;93;8239;161;0;0;0;1;0;0;0;7;33;30
130034531;CENTRE DE DIALYSE DIAVERUM ARLES;013;93;17188;0;0;0;0;0;0;0;0;15;69;63
130037922;CLINIQUE DE LA RESIDENCE DU PARC;013;93;10157;182;0;0;0;1;0;0;0;8;40;37
130038003;CHP AIX;013;93;22693;0;0;0;0;0;0;0;0;20;91;83
130041767;EUROMED CARDIO;013;93;2576;0;0;0;0;0;0;0;0;2;10;9
130042096;GCS CENTRE CARDIO AXIUM RAMBOT;013;93;3290;0;0;0;0;0;0;0;0;2;13;12
130043664;HOPITAL EUROPEEN;013;93;48831;8084;0;0;0;1;0;0;15;43;196;180
130780521;APHM HOPITAL NORD;013;93;77958;26007;0;0;0;1;0;0;48;69;314;287
130781255;CTRE GERONT ST THOMAS DE VILLENEUVE;013;93;983;0;0;0;0;0;0;0;0;0;3;3
130781289;POLYCLINIQUE DU PARC RAMBOT PROVENCALE;013;93;15965;9262;0;0;0;1;0;0;17;14;64;58
130781370;CLINIQUE JEANNE D'ARC;013;93;8153;360;0;0;0;1;0;0;1;7;32;30
130781479;HOPITAL PRIVE LA CASAMANCE;013;93;24584;4240;0;0;0;1;0;0;8;21;99;90
130781867;CLINIQUE DE LA CIOTAT;013;93;10650;0;0;0;0;0;0;0;0;9;42;39
130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;013;93;9692;240;0;0;0;1;0;0;0;8;39;35
130782147;CLINIQUE GENERALE DE MARIGNANE;013;93;14262;207;0;0;0;1;0;0;0;12;57;52
130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;013;93;8544;142;0;0;0;1;0;0;0;7;34;31
130782675;CLINIQUE VIGNOLI;013;93;8237;321;0;0;0;1;0;0;1;7;33;30
130783152;CLINIQUE SAINTE ELISABETH;013;93;365;0;0;0;0;0;0;0;0;0;1;1
130783236;APHM HOPITAL DE LA CONCEPTION;013;93;72061;5279;0;0;0;1;0;0;10;63;290;265
130783293;APHM HOPITAL LA TIMONE ADULTES;013;93;104019;36519;1105;0;1;1;0;50;68;92;419;383
130783327;CLINIQUE BOUCHARD;013;93;42680;443;0;0;0;1;0;0;1;37;172;157
130783665;CLINIQUE DE BONNEVEINE;013;93;7057;707;0;0;0;1;0;0;1;6;28;26
130783723;CLINIQUE JUGE;013;93;17800;199;0;0;0;1;0;0;0;15;71;65
130783772;CLINIQUE MONTICELLI;013;93;7401;165;0;0;0;1;0;0;0;6;29;27
130783962;CLINIQUE WULFRAN PUGET;013;93;7402;0;0;0;0;0;0;0;0;6;29;27
130784051;HOPITAL PRIVE CLAIRVAL;013;93;31936;8597;0;0;0;1;0;0;16;28;128;117
130784226;ST PAUL HENRI GASTAUT;013;93;2197;0;0;0;0;0;0;0;0;1;8;8
130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;013;93;23591;5;0;0;0;1;0;0;0;20;95;87
130784481;CENTRE DE DIALYSE DIAVERUM MARSEILLE;013;93;48967;0;0;0;0;0;0;0;0;43;197;180
130784713;HOPITAL PRIVE BEAUREGARD VERT COTEAU;013;93;27332;6917;0;0;0;1;0;0;13;24;110;100
130784903;CLINIQUE LA PHOCEANNE;013;93;4799;0;0;0;0;0;0;0;0;4;19;17
130785389;CLINIQUE CHANTECLER;013;93;10300;232;0;0;0;1;0;0;0;9;41;38
130785652;HOPITAL ST JOSEPH;013;93;66283;11634;0;0;0;1;0;0;22;58;267;244
130785678;HOPITAL PRIVE VERT COTEAU BEAUREGARD;013;93;10094;1768;0;0;0;1;0;0;3;8;40;37
130786361;POLYCLINIQUE DU PARC RAMBOT;013;93;25053;0;0;0;0;0;0;0;0;22;101;92
130786445;MATERNITE CATHOLIQUE PROVENCE L'ETOILE;013;93;5183;160;0;0;0;1;0;0;0;4;20;19
130786742;HIA LAVERAN;013;93;11180;83;0;0;0;1;0;0;0;9;45;41
130789159;CENTRE CARDIO VASCULAIRE VALMANTE;013;93;918;0;0;0;0;0;0;0;0;0;3;3
130804297;APHM HOPITAL LA TIMONE ENFANTS;013;93;24309;3938;0;0;0;1;0;0;7;21;98;89
130809015;CTRE GERONTO DPTAL LA TOUR BLANCHE;013;93;1669;0;0;0;0;0;0;0;0;1;6;6
130809809;CHP AUBAGNE;013;93;21240;0;0;0;0;0;0;0;0;18;85;78
130810740;CLINIQUE AXIUM;013;93;22462;635;0;0;0;1;0;0;1;19;90;82
130811102;LA MAISON;013;93;360;0;0;0;0;0;0;0;0;0;1;1
140000027;CENTRE HOSPITALIER DE LISIEUX;014;28;31009;1886;249;0;0;1;0;0;4;85;234;114
140000076;CENTRE HOSPITALIER D'AUNAY SUR ODON;014;28;347;0;0;0;0;0;0;0;0;0;2;1
140000209;CHU COTE DE NACRE - CAEN;014;28;113025;14137;1202;0;0;1;0;0;26;312;856;417
140000233;CENTRE HOSPITALIER DE FALAISE;014;28;8187;176;0;0;0;1;0;0;0;22;62;30
140000290;CLINIQUE NOTRE DAME - VIRE;014;28;6711;197;0;0;0;1;0;0;0;18;50;24
140000340;CENTRE SSR BETHARRAM HEROUVILLE;014;28;201;0;0;0;0;0;0;0;0;0;1;0
140000373;CENTRE HOSPITALIER DE VIRE;014;28;4728;502;0;0;0;1;0;0;1;13;35;17
140000555;CRLCC FRANCOIS BACLESSE - CAEN;014;28;78054;72197;0;0;1;1;0;10;134;215;591;288
140002452;CLINIQUE DE LA MISERICORDE - CAEN;014;28;6352;0;0;0;0;0;0;0;0;17;48;23
140004383;CHR GEORGES CLEMENCEAU - CAEN;014;28;2104;0;0;0;0;0;0;0;0;5;15;7
140016759;POLYCLINIQUE DU PARC - CAEN;014;28;26734;5020;0;0;0;1;0;0;9;73;202;98
140017237;HOPITAL PRIVE ST MARTIN-CAEN;014;28;53241;869;0;0;0;1;0;0;2;147;403;196
140018730;POLYCLINIQUE DE LISIEUX;014;28;7003;461;0;0;0;1;0;0;1;19;53;25
140024886;CENTRE HOSPITALIER - BAYEUX;014;28;14289;1576;0;0;0;1;0;0;3;39;108;52
140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;014;28;3883;10;0;0;0;1;0;0;0;10;29;14
140026709;POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF;014;28;5774;238;0;0;0;1;0;0;0;15;43;21
150000024;CH DE CONDAT EN FENIERS;015;84;143;0;0;0;0;0;0;0;0;2;0;0
150000032;CENTRE HOSPITALIER DE SAINT FLOUR;015;84;6458;458;0;0;0;1;0;0;1;106;21;23
150000040;CENTRE HOSPITALIER HENRI MONDOR;015;84;23011;2805;0;0;0;1;0;0;5;380;74;84
150000164;CENTRE HOSPITALIER DE MAURIAC;015;84;2001;0;0;0;0;0;0;0;0;33;6;7
150000180;CH DE MURAT;015;84;438;0;0;0;0;0;0;0;0;7;1;1
150780120;CLINIQUE DU HAUT CANTAL;015;84;417;0;0;0;0;0;0;0;0;6;1;1
150780732;CENTRE MEDICO CHIRURGICAL TRONQUIERES;015;84;27981;3243;0;0;0;1;0;0;6;462;91;103
160000170;CLINIQUE SAINT-JOSEPH - ANGOULEME;016;75;9701;106;0;0;0;1;0;0;0;73;39;35
160000188;CTRE HOSPITALIER DE LA ROCHEFOUCAULD;016;75;390;0;0;0;0;0;0;0;0;2;1;1
160000253;CENTRE HOSPITALIER D'ANGOULEME;016;75;49902;16057;620;0;0;1;0;0;30;377;202;184
160000279;CLINIQUE DE COGNAC;016;75;6822;198;0;0;0;1;0;0;0;51;27;25
160000303;CH HOPITAUX SUD-CHARENTE - BARBEZIEUX;016;75;2548;0;0;0;0;0;0;0;0;19;10;9
160000311;CENTRE HOSPITALIER - CONFOLENS;016;75;1951;0;0;0;0;0;0;0;0;14;7;7
160000337;CENTRE HOSPITALIER DE RUFFEC;016;75;2428;0;0;0;0;0;0;0;0;18;9;8
160013207;CENTRE CLINICAL SA;016;75;24550;6351;0;0;0;1;0;0;12;185;99;90
160014650;GCC EN ONCOLOGIE ET RADIOTHERAPIE;016;75;23334;0;0;0;0;0;0;0;0;176;94;86
160015368;CHI DU PAYS DE COGNAC;016;75;10441;2033;0;0;0;1;0;0;4;79;42;38
170000038;CENTRE HOSPITALIER JONZAC;017;75;7046;398;0;0;0;1;0;0;1;30;28;26
170000079;CTRE HOSPITALIER ST-PIERRE D'OLERON;017;75;225;0;0;0;0;0;0;0;0;0;0;0
170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;017;75;72333;15197;1093;0;0;1;0;0;28;308;293;266
170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;017;75;5929;0;0;0;0;0;0;0;0;25;24;21
170000103;CTRE HOSP. DE SAINTONGE - SAINTES;017;75;59698;26737;484;0;0;1;0;0;50;254;242;220
170000111;CH ST HONORE - ST-MARTIN-DE-RE;017;75;33;0;0;0;0;0;0;0;0;0;0;0
170000129;CENTRE HOSPITALIER ROYAN;017;75;9249;2521;0;0;0;1;0;0;5;39;37;34
170000152;CENTRE HOSPITALIER ROCHEFORT;017;75;22399;1499;0;0;0;1;0;0;3;95;90;82
170000178;CENTRE HOSPITALIER BOSCAMNANT;017;75;340;0;0;0;0;0;0;0;0;1;1;1
170780563;ETAB. DE SOINS PASTEUR - ROYAN;017;75;12160;1206;0;0;0;1;0;0;2;51;49;44
170780613;CLINIQUE DU MAIL - LA ROCHELLE;017;75;9348;1190;0;0;0;1;0;0;2;39;37;34
170780621;POLYCLINIQUE SAINT GEORGES;017;75;6289;318;0;0;0;1;0;0;1;26;25;23
170780647;CLINIQUE RICHELIEU - SAINTES;017;75;8348;152;0;0;0;1;0;0;0;35;33;30
170780662;CAPIO CLINIQUE DE L'ATLANTIQUE;017;75;20738;562;0;0;0;1;0;0;1;88;84;76
180000010;CH BOURGES - JACQUES COEUR;018;24;44207;4406;543;0;0;1;0;0;8;517;485;163
180000200;CH DE VIERZON;018;24;10556;1042;0;0;0;1;0;0;2;123;116;38
180000283;CH SAINT AMAND-MONTROND;018;24;4607;0;0;0;0;0;0;0;0;53;50;17
180000358;CLINIQUE DES GRAINETIERES;018;24;7009;907;0;0;0;1;0;0;2;82;77;25
180004145;HOPITAL PRIVE GUILLAUME DE VARYE;018;24;19011;5572;0;0;0;1;0;0;10;222;208;70
190000018;CENTRE HOSPITALIER DUBOIS BRIVE;019;75;60159;27335;0;0;0;1;0;0;51;500;244;222
190000026;CENTRE HOSPITALIER COEUR DE CORREZE;019;75;13546;555;0;0;0;1;0;0;1;112;54;49
190000034;HOPITAL LOCAL DE BORT LES ORGUES;019;75;316;0;0;0;0;0;0;0;0;2;1;1
190000091;CENTRE HOSPITALIER D'USSEL;019;75;7904;1027;0;0;0;1;0;0;2;65;32;29
190000224;CLINIQUE LES CEDRES BRIVE;019;75;16077;424;0;0;0;1;0;0;1;133;65;59
190000257;CLINIQUE SAINT-GERMAIN BRIVE;019;75;7935;566;0;0;0;1;0;0;1;65;32;29
190010553;UNITE DE DIALYSE BRIVE;019;75;14330;0;0;0;0;0;0;0;0;119;58;52
210011847;POLYCLINIQUE DU PARC DREVON;021;27;17535;5250;0;0;0;1;0;0;10;59;154;64
210780110;CLINIQUE SAINTE MARTHE DIJON;021;27;13244;168;0;0;0;1;0;0;0;44;116;48
210780136;CLINIQUE MEDICO CHIRURGICALE CHENOVE;021;27;11684;243;0;0;0;1;0;0;0;39;102;43
210780789;CLINIQUE MUTUALISTE B?NIGNE JOLY;021;27;30959;4268;0;0;0;1;0;0;8;105;272;114
210780979;CLINIQUE FONTAINE LES DIJON;021;27;16087;115;0;0;0;1;0;0;0;54;141;59
210986089;CTRE HOSPITALIER REG UNIVERSITAIRE DIJ;021;27;3023;0;0;0;0;0;0;0;0;10;26;11
